Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
10_90min_pur_wdh	10_90min_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17962	39215	0	58328	20094	0	38234	3112	2783	0	329	5.3	14	0	0.86	1308	971391	29707	3.1	3222	11	46365	15045	14421	32	45	3243	22	+	0.50767	0.7066	0.30644	0.45144	
11_1zu3_90min	11_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13904	45175	0	70948	19390	0	51558	2843	2512	0	331	4	13	0	0.64	1271	547710	30238	5.5	3683	12	31791	14475	13780	46	62	3073	21	+	0.50243	0.73173	0.30199	0.46529	
12_90min_pur_wdh	12_90min_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16371	42861	0	61639	24083	0	37556	5440	4745	0	695	8.8	20	0	1.9	2019	956584	32844	3.4	3287	10	48700	18394	17905	38	50	3829	21	+	0.56414	0.81728	0.37087	0.56549	
13_1zu3_wdh	13_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15450	42492	0	65770	19210	0	46560	2274	2140	0	134	3.5	11	0	0.29	1142	602314	31131	5.2	2943	9.5	41272	15829	15152	38	58	2542	16	+	0.53478	0.76223	0.32841	0.48761	
14_1zu3_90min	14_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12840	48233	0	71726	24724	0	47002	5186	4627	0	559	7.2	19	0	1.2	2428	618199	35577	5.8	3528	9.9	42556	19768	19211	46	58	3442	17	+	0.59342	0.85576	0.38151	0.58232	
15_1zu3_90min	15_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13835	45325	0	72314	18318	0	53996	2718	2390	0	328	3.8	13	0	0.61	990	588838	29444	5	3984	14	30320	13125	12398	43	62	3176	24	+	0.49626	0.72293	0.29819	0.45412	
161_100_pur_wdh	161_100_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13157	49443	0	69617	29267	0	40350	3301	3064	0	237	4.7	10	0	0.59	1911	562046	37067	6.6	2456	6.6	55560	25566	25044	46	56	2963	12	+	0.64405	0.91853	0.42335	0.64923	
161_101_1zu3_wdh	161_101_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15123	43364	0	62259	24465	0	37794	5030	4672	0	358	8.1	19	0	0.95	2504	588261	32841	5.6	2610	7.9	44330	20566	20134	46	58	2937	14	+	0.59837	0.84394	0.39202	0.59445	
161_102_1zu3_wdh	161_102_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15034	43952	0	59307	28593	0	30714	3946	3709	0	237	6.7	13	0	0.77	2063	646408	34460	5.3	2163	6.3	55944	24881	24505	44	53	2906	12	+	0.65745	0.92196	0.43238	0.65059	
161_103_pur_wdh	161_103_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12233	55340	0	78633	32047	0	46586	3878	3446	0	432	4.9	11	0	0.93	1727	585694	41968	7.2	2626	6.3	58546	27321	26815	47	57	3653	13	+	0.57932	0.8488	0.39307	0.60524	
161_104_1zu3_wdh	161_104_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15464	45077	0	59682	30458	0	29224	5120	4633	0	487	8.6	15	0	1.7	2384	587407	36125	6.1	2851	7.9	51037	24820	24298	49	58	3914	16	+	0.63562	0.90054	0.43724	0.66421	
161_105_1zu3_wdh	161_105_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14497	47035	0	63229	30839	0	32390	5988	5550	0	438	9.5	18	0	1.4	2950	574266	36695	6.4	2846	7.8	52265	25503	25056	49	58	3806	15	+	0.61829	0.87747	0.42128	0.63539	
161_106_1zu3_wdh	161_106_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14193	46538	0	65669	27405	0	38264	5646	5222	0	424	8.6	19	0	1.1	2898	544711	35484	6.5	2843	8	46980	22931	22460	49	59	3321	14	+	0.59294	0.85094	0.39028	0.58935	
161_107_pur_wdh_20200618171515	161_107_pur_wdh_20200618171515	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15314	44200	0	61030	27370	0	33660	5587	5135	0	452	9.2	19	0	1.3	2897	594874	33774	5.7	2362	7	55416	23110	22686	42	56	3190	14	+	0.59495	0.84789	0.40094	0.61248	
161_108_pur_wdh	161_108_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13809	48193	0	69758	26624	0	43134	4606	4279	0	327	6.6	16	0	0.76	2263	639019	36450	5.7	2792	7.7	57688	22661	22205	39	53	3015	13	+	0.64377	0.92229	0.43113	0.64766	
