Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
10_90min_pur_wdh	10_90min_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17962	39215	0	58328	20094	0	38234	1244	1195	0	49	2.1	5.9	0	0.13	514	971391	29707	3.1	3222	11	46365	15045	14421	32	45	3243	22	+	0.58911	0.78458	0.38009	0.53799	
11_1zu3_90min	11_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13904	45175	0	70948	19390	0	51558	1193	1117	0	76	1.7	5.8	0	0.15	578	547710	30238	5.5	3683	12	31791	14475	13780	46	62	3073	21	+	0.60884	0.82412	0.39013	0.55447	
12_90min_pur_wdh	12_90min_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16371	42861	0	61639	24083	0	37556	2834	2625	0	209	4.6	11	0	0.56	961	956584	32844	3.4	3287	10	48700	18394	17905	38	50	3829	21	+	0.65338	0.89585	0.44756	0.64784	
13_1zu3_wdh	13_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15450	42492	0	65770	19210	0	46560	926	902	0	24	1.4	4.7	0	0.052	486	602314	31131	5.2	2943	9.5	41272	15829	15152	38	58	2542	16	+	0.60351	0.81293	0.40207	0.56592	
14_1zu3_90min	14_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12840	48233	0	71726	24724	0	47002	2005	1880	0	125	2.8	7.6	0	0.27	758	618199	35577	5.8	3528	9.9	42556	19768	19211	46	58	3442	17	+	0.73199	0.95933	0.49135	0.69304	
15_1zu3_90min	15_1zu3_90min	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13835	45325	0	72314	18318	0	53996	1114	1064	0	50	1.5	5.8	0	0.093	440	588838	29444	5	3984	14	30320	13125	12398	43	62	3176	24	+	0.5099	0.66784	0.3198	0.43227	
161_100_pur_wdh	161_100_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13157	49443	0	69617	29267	0	40350	7266	6849	0	417	10	23	0	1	5445	562046	37067	6.6	2456	6.6	55560	25566	25044	46	56	2963	12	+	0.65574	0.93166	0.46457	0.70199	
161_101_1zu3_wdh	161_101_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15123	43364	0	62259	24465	0	37794	2255	2201	0	54	3.6	9	0	0.14	972	588261	32841	5.6	2610	7.9	44330	20566	20134	46	58	2937	14	+	0.69902	0.94111	0.49142	0.70482	
161_102_1zu3_wdh	161_102_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15034	43952	0	59307	28593	0	30714	5071	4773	0	298	8.6	17	0	0.97	3540	646408	34460	5.3	2163	6.3	55944	24881	24505	44	53	2906	12	+	0.711	0.97898	0.50662	0.7363	
161_103_pur_wdh	161_103_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12233	55340	0	78633	32047	0	46586	12004	11023	0	981	15	34	0	2.1	8562	585694	41968	7.2	2626	6.3	58546	27321	26815	47	57	3653	13	+	0.64928	0.91769	0.4788	0.71316	
